compound	compositionality	head	modifier	avgHead	stdevHead	avgModifier	stdevModifier	stdevHeadModifier	is_adj	source	is_original
dutch_courage	1.0	courage	dutch	2.4444	1.6718	0.8519	1.0991	1.1435	True	cordeiro100	True
freudian_slip	2.3478	slip	freudian	2.5217	1.5629	2.3913	1.588	1.5258	True	cordeiro100	True
academy_award	3.5217	award	academy	4.6957	0.7648	3.1304	1.6322	1.4731	False	cordeiro100	True
arcade_game	3.8	game	arcade	4.68	0.9	3.76	1.4514	1.3844	False	cordeiro100	True
baby_blues	2.875	blues	baby	2.3333	1.6594	3.6667	1.5788	1.6762	False	cordeiro100	True
baby_blue	2.875	blue	baby	2.3333	1.6594	3.6667	1.5788	1.6762	False	cordeiro100	False
backroom_boy	1.48	boy	backroom	1.04	1.0198	1.96	1.241	0.9626	False	cordeiro100	True
bad_apple	1.1304	apple	bad	0.4348	0.6624	4.3043	1.1846	1.29	True	cordeiro100	True
banana_republic	0.8636	republic	banana	2.7727	1.7977	0.8182	0.8528	0.9409	False	cordeiro100	True
bankruptcy_proceeding	4.7826	proceeding	bankruptcy	4.2609	1.1762	4.913	0.2881	0.4217	False	cordeiro100	True
basket_case	0.4231	case	basket	0.7692	1.1066	0.4231	0.8086	0.8086	False	cordeiro100	True
beauty_sleep	2.9565	sleep	beauty	4.5652	0.8958	2.3478	1.3007	0.976	False	cordeiro100	True
best_man	3.12	man	best	4.32	1.0693	3.12	1.3329	1.3013	True	cordeiro100	True
big_cheese	0.3571	cheese	big	0.0714	0.378	2.1071	1.4742	1.0261	True	cordeiro100	True
big_picture	1.4783	picture	big	1.1739	1.2668	3.1304	1.2175	1.5629	True	cordeiro100	True
big_wig	0.6	wig	big	0.24	0.5972	2.0	1.3844	0.7071	True	cordeiro100	True
biological_clock	2.4211	clock	biological	1.7895	1.4368	4.5789	0.7685	1.3045	True	cordeiro100	True
black_box	1.2857	box	black	2.8571	1.5901	1.0952	1.3002	1.4541	True	cordeiro100	True
black_operation	1.3913	operation	black	4.0435	0.976	1.2609	1.2511	1.4058	True	cordeiro100	True
blind_alley	1.1364	alley	blind	1.0455	1.1329	1.4545	1.2239	1.1253	True	cordeiro100	True
blood_bath	1.375	bath	blood	0.6667	1.0495	3.5	1.3188	1.439	False	cordeiro100	True
blue_blood	0.5833	blood	blue	1.0833	0.9743	0.5	1.0215	0.7173	True	cordeiro100	True
blue_print	1.04	print	blue	2.68	1.4922	1.0	1.354	1.0599	True	cordeiro100	True
box_office	0.88	office	box	1.64	1.578	0.56	0.8206	1.1299	False	cordeiro100	True
brain_drain	2.0833	drain	brain	2.2083	1.7189	2.75	1.5673	1.5857	False	cordeiro100	True
bull_market	1.2273	market	bull	3.2273	1.8499	0.9091	1.1509	1.1925	False	cordeiro100	True
cable_car	2.68	car	cable	2.64	1.6553	3.24	1.6145	1.8193	False	cordeiro100	True
calendar_month	4.2308	month	calendar	4.3077	1.1821	4.0769	1.4412	1.1658	False	cordeiro100	True
civil_marriage	3.1304	marriage	civil	4.4348	1.161	3.087	1.9049	1.8661	True	cordeiro100	True
cocoa_butter	3.2273	butter	cocoa	2.3182	1.6729	3.9545	1.3965	1.3428	False	cordeiro100	True
computer_expert	4.4583	expert	computer	4.0833	1.3805	4.4583	1.0206	0.8836	False	cordeiro100	True
contact_lenses	3.6364	lenses	contact	4.3636	1.329	3.4545	1.405	1.3988	False	cordeiro100	True
contact_lens	3.6364	lens	contact	4.3636	1.329	3.4545	1.405	1.3988	False	cordeiro100	False
copy_cat	0.7391	cat	copy	0.087	0.417	4.1304	1.29	1.1369	False	cordeiro100	True
crime_rate	4.3913	rate	crime	4.0435	1.5219	4.7826	1.0426	1.4378	False	cordeiro100	True
damp_squib	0.9545	squib	damp	1.0455	0.9989	0.7727	1.0204	1.2141	True	cordeiro100	True
dark_horse	0.6522	horse	dark	0.6957	0.8757	0.5652	0.8435	0.8847	True	cordeiro100	True
day_shift	4.5357	shift	day	4.4286	1.3174	4.4643	1.1049	0.9993	False	cordeiro100	True
disability_insurance	4.4545	insurance	disability	4.3636	1.2168	4.3636	1.0486	1.1843	False	cordeiro100	True
double_dutch	0.2917	dutch	double	0.4167	0.6539	1.0	1.4142	0.55	True	cordeiro100	True
